porst	va	vb	vbg	vc	l17	l18	l19	l20	amp/vg	amp/vq	amp/vx	VNW	VDDPST	POC	VDDCE	VDDPE	VPW	VSSPST	VSSE	BGR_Core/vbneg	BGR_Core/l6	BGR_Core/l7	BGR_Core/l8	BGR_Core/l10	BGR_Core/l11	BGR_Core/l1	BGR_Core/l2	BGR_Core/l4	BGR_Core/l5	BGR_Core/l12	BGR_Core/R6/l	BGR_Core/R7/l	BGR_Core/R8/l	BGR_Core/R10/l	BGR_Core/R11/l	BGR_Core/R3/l	BGR_Core/R1/l	BGR_Core/R2/l	BGR_Core/R4/l	BGR_Core/R5/l	BGR_Core/R12/l	R17/l	R18/l	R19/l	R20/l	VDD	amp/VDD	CM/VDD	VSS	amp/VSS
3	10	7	6	20	11	13	14	19	6	11	5	17	9	3	11	7	18	4	11	14	12	11	15	5	5	19	17	17	12	12	5	17	5	17	15	3	11	12	6	7	20	14	4	4	4	8	9	3	14	2
3	10	7	6	20	11	13	14	19	6	11	5	17	9	3	11	7	18	4	11	14	12	11	15	5	5	19	17	17	12	12	5	17	5	17	15	3	11	12	6	7	20	14	4	4	4	8	9	3	14	2
9	5	7	16	6	17	12	16	6	17	10	17	12	18	9	3	13	18	10	14	19	5	11	6	18	6	6	4	12	8	3	2	17	17	4	20	18	3	6	16	20	6	20	10	4	11	13	6	16	13	3
9	5	7	16	6	17	12	16	6	17	10	17	12	18	9	3	13	18	10	14	19	5	11	6	18	6	6	4	12	8	3	2	17	17	4	20	18	3	6	16	20	6	20	10	4	11	13	6	16	13	3
4	15	18	19	15	18	5	20	16	12	7	5	9	15	11	3	2	2	7	4	12	12	3	9	3	15	12	6	10	12	14	15	10	20	9	10	12	19	18	16	5	18	13	7	18	3	9	17	5	2	9
2	2	7	12	8	10	9	15	13	7	4	20	15	16	19	16	19	18	13	13	5	2	14	13	7	17	16	13	2	8	18	15	14	7	6	15	7	15	17	10	4	7	20	6	11	7	5	12	10	19	12
17	17	10	18	14	6	18	10	7	14	5	7	10	5	2	15	11	12	8	11	15	6	5	7	5	3	8	7	14	15	15	15	5	20	13	4	11	16	5	5	3	18	14	17	9	14	5	14	10	13	15
7	2	15	20	14	16	4	4	15	19	19	6	7	6	8	7	9	2	18	6	17	13	11	12	5	15	10	7	12	18	12	19	6	14	19	11	9	14	13	14	17	18	11	15	15	5	6	6	2	20	18
5	8	18	5	10	7	14	4	3	2	5	13	17	12	5	16	13	20	10	17	9	7	19	19	4	18	7	2	7	18	15	8	16	14	10	2	20	6	14	7	16	20	3	14	4	20	14	12	9	18	16
17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8	3	2	19	15	5	10	4	9	4
17	13	4	12	5	17	20	12	8	9	2	10	5	9	13	7	12	15	3	5	6	9	3	20	19	4	2	5	8	20	5	14	4	13	5	3	2	8	7	5	17	8	3	2	19	15	5	10	4	9	4
2	7	11	18	20	10	12	4	17	10	11	15	14	14	3	7	6	9	11	12	3	3	17	15	6	17	4	6	13	15	3	16	14	16	3	5	17	6	2	3	6	12	5	19	13	8	14	17	5	3	16
2	7	11	18	20	10	12	4	17	10	11	15	14	14	3	7	6	9	11	12	3	3	17	15	6	17	4	6	13	15	3	16	14	16	3	5	17	6	2	3	6	12	5	19	13	8	14	17	5	3	16
2	9	9	17	11	10	9	2	17	13	18	12	4	4	11	20	15	9	13	14	6	9	11	8	17	13	11	14	6	5	14	13	18	17	9	13	13	15	10	13	14	11	5	17	11	5	16	6	13	9	7
2	9	9	17	11	10	9	2	17	13	18	12	4	4	11	20	15	9	13	14	6	9	11	8	17	13	11	14	6	5	14	13	18	17	9	13	13	15	10	13	14	11	5	17	11	5	16	6	13	9	7
9	7	15	12	19	7	19	7	10	10	12	3	19	7	14	5	4	17	18	18	8	15	13	19	3	4	15	19	12	4	2	3	17	14	17	3	17	7	17	16	19	17	20	16	20	2	14	8	11	15	13
15	19	19	19	16	11	18	14	10	14	7	11	7	10	18	19	2	12	9	7	9	2	5	14	7	2	15	5	8	12	3	10	12	14	5	14	19	15	14	11	6	16	9	9	13	7	13	12	10	17	5
7	19	5	6	13	15	18	6	4	18	3	19	9	5	14	13	18	12	19	20	19	14	11	9	20	4	6	14	13	11	13	18	13	2	2	2	6	10	8	6	7	5	17	17	6	10	10	6	3	7	13
8	5	8	11	10	7	5	17	14	4	2	10	16	5	10	6	18	13	5	6	10	2	3	3	8	10	19	12	13	20	3	17	16	15	13	19	7	8	14	20	11	2	6	6	10	12	12	13	4	12	3
8	5	8	11	10	7	5	17	14	4	2	10	16	5	10	6	18	13	5	6	10	2	3	3	8	10	19	12	13	20	3	17	16	15	13	19	7	8	14	20	11	2	6	6	10	12	12	13	4	12	3
14	12	17	11	16	6	17	11	12	13	14	14	20	14	18	11	20	9	8	15	8	10	18	7	18	6	18	19	18	17	12	10	15	11	16	18	3	8	10	16	4	2	8	5	10	2	8	7	7	13	10
14	12	17	11	16	6	17	11	12	13	14	14	20	14	18	11	20	9	8	15	8	10	18	7	18	6	18	19	18	17	12	10	15	11	16	18	3	8	10	16	4	2	8	5	10	2	8	7	7	13	10
8	7	14	3	12	18	8	12	7	18	19	20	15	6	17	20	8	16	3	9	17	12	19	8	2	3	3	6	9	16	9	5	18	15	11	12	17	8	7	13	19	13	16	14	16	12	16	4	6	9	5
12	10	4	16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
12	10	4	16	7	5	18	10	19	14	16	15	7	15	6	5	20	5	7	17	11	5	15	10	10	5	13	18	19	4	2	3	2	6	5	15	14	17	2	12	6	4	14	20	9	3	8	15	2	3	14
3	17	15	16	4	13	2	8	11	8	4	17	6	19	18	19	14	10	9	4	15	2	11	17	12	2	8	9	16	16	18	12	18	3	4	6	14	12	14	5	11	16	14	18	8	13	11	17	19	14	15
12	18	2	3	3	5	20	6	6	14	2	15	15	20	12	9	6	13	18	8	19	14	4	6	15	20	13	5	15	15	9	17	14	9	14	9	17	14	20	4	10	10	18	13	19	2	17	9	10	3	12
6	7	18	5	10	7	14	2	3	18	19	13	17	8	5	20	13	19	3	9	18	9	19	19	4	18	3	2	7	18	15	8	16	15	10	2	20	12	14	12	19	19	18	14	4	12	14	12	9	18	2
6	11	14	15	4	2	8	12	7	9	9	16	14	20	15	3	14	20	15	3	7	16	4	10	7	16	18	17	19	2	3	17	12	11	16	3	15	8	19	4	6	2	14	15	12	2	8	2	2	18	5
14	7	15	15	7	9	16	12	18	6	13	16	4	17	8	11	2	16	16	2	8	11	5	11	19	6	15	17	4	17	9	19	14	10	2	5	10	3	2	10	14	18	20	14	16	5	10	13	11	8	4
15	4	10	20	5	18	4	20	6	17	3	18	9	13	5	19	8	7	9	14	8	16	13	7	10	13	19	8	8	16	12	6	10	19	2	4	12	11	12	3	4	2	11	5	7	10	8	18	19	13	16
15	4	19	8	18	8	8	17	4	8	5	18	6	8	19	20	18	15	14	10	17	2	14	13	8	3	8	16	8	18	8	2	6	9	16	17	6	10	11	14	12	11	4	5	17	13	4	9	6	15	9
14	15	3	10	18	17	14	11	17	13	20	8	18	6	11	6	5	10	19	6	11	5	4	12	17	19	5	13	15	12	8	19	17	16	18	10	3	19	2	4	14	2	17	12	9	12	4	8	20	9	9
14	15	3	10	18	17	14	11	17	13	20	8	18	6	11	6	5	10	19	6	11	5	4	12	17	19	5	13	15	12	8	19	17	16	18	10	3	19	2	4	14	2	17	12	9	12	4	8	20	9	9
9	8	4	20	6	9	18	8	16	12	2	10	15	20	18	19	6	12	20	19	14	8	11	5	16	10	9	10	11	4	13	6	16	2	14	16	3	11	18	15	16	20	18	8	7	2	10	5	14	10	8
9	8	4	20	6	9	18	8	16	12	2	10	15	20	18	19	6	12	20	19	14	8	11	5	16	10	9	10	11	4	13	6	16	2	14	16	3	11	18	15	16	20	18	8	7	2	10	5	14	10	8
12	17	14	15	7	2	6	20	3	16	6	12	2	17	10	8	4	19	15	10	7	18	7	4	7	20	5	18	19	14	15	10	11	11	2	15	10	10	19	18	19	12	12	8	15	6	2	18	6	20	14
12	17	14	15	7	2	6	20	3	16	6	12	2	17	10	8	4	19	15	10	7	18	7	4	7	20	5	18	19	14	15	10	11	11	2	15	10	10	19	18	19	12	12	8	15	6	2	18	6	20	14
14	20	11	17	19	13	11	15	20	7	13	3	15	16	16	11	4	9	12	9	14	2	12	6	7	17	4	5	7	3	9	7	2	18	15	15	7	11	14	16	11	19	3	7	17	7	5	5	17	11	11
16	8	20	3	14	3	9	4	7	13	3	7	9	11	4	18	11	13	15	16	3	18	19	15	20	16	17	10	17	8	12	10	3	3	3	7	13	2	11	2	6	4	15	9	14	19	9	16	8	12	5
2	4	5	20	6	6	20	8	13	13	4	5	14	17	6	12	20	18	8	9	20	16	11	5	6	15	5	8	6	7	10	10	12	7	16	12	19	5	4	14	2	3	8	12	15	9	12	15	20	3	12
3	4	5	20	6	6	20	8	13	13	5	5	14	17	6	12	20	18	8	9	20	16	11	5	6	15	5	8	6	7	10	10	12	7	16	12	19	5	4	14	2	3	8	12	15	9	12	15	20	5	12
8	10	9	19	20	13	16	9	12	6	12	9	6	10	19	7	19	5	16	17	8	7	13	9	4	19	17	8	11	14	10	18	8	13	15	12	2	3	8	8	7	19	16	4	10	18	11	17	15	12	14
8	8	15	19	20	2	14	9	7	9	4	9	5	10	19	17	19	7	15	17	5	7	13	10	19	19	17	8	12	14	10	11	8	3	16	12	2	3	8	8	7	19	15	4	10	18	12	16	14	12	15
4	12	12	19	16	12	10	2	18	3	8	13	4	8	18	13	8	8	10	11	11	18	14	10	17	13	9	3	11	19	4	2	16	17	16	3	15	17	16	16	5	4	4	9	5	6	15	8	16	4	15
4	12	12	19	16	12	10	2	18	3	8	13	4	8	18	13	8	8	10	11	11	18	14	10	17	13	9	3	11	19	4	2	16	17	16	3	15	17	16	16	5	4	4	9	5	6	15	8	16	4	15
14	10	7	7	4	8	18	13	16	4	12	18	15	11	16	3	6	13	7	17	9	9	4	6	16	15	5	13	9	5	12	6	8	9	19	12	17	12	20	17	18	10	11	2	7	10	8	18	19	5	11
14	10	7	7	4	8	18	13	16	4	12	18	15	11	16	3	6	13	7	17	9	9	4	6	16	15	5	13	9	5	12	6	8	9	19	12	17	12	20	17	18	10	11	2	7	10	8	18	19	5	11
12	6	15	10	14	4	20	18	12	9	16	9	13	17	15	2	16	2	19	14	16	9	15	9	10	17	17	6	9	16	11	13	17	6	18	4	8	11	18	5	3	6	12	3	12	7	16	14	8	15	17
2	2	2	7	10	13	14	20	19	14	3	19	8	5	2	16	3	13	10	13	8	14	9	12	7	7	9	7	20	18	14	19	9	2	3	15	10	7	9	4	15	11	12	4	3	12	6	6	10	3	18
13	16	3	19	15	9	2	13	18	5	8	13	17	2	9	20	9	16	7	15	4	20	16	2	17	18	5	8	8	16	4	15	17	9	3	15	13	12	4	9	3	17	2	10	8	14	14	15	14	3	20
13	16	3	19	15	9	2	13	18	7	8	13	17	2	9	20	9	10	7	15	4	20	16	9	16	18	5	8	7	16	4	15	14	10	10	15	13	12	4	11	2	17	2	10	8	14	14	15	14	3	20
2	17	11	6	18	13	6	5	18	12	12	4	13	8	8	11	18	15	14	14	3	6	16	4	11	6	18	8	17	13	6	20	6	20	15	10	8	5	7	6	16	19	15	7	3	11	17	20	4	13	5
7	2	15	20	14	16	5	4	7	19	18	16	7	6	16	7	9	3	8	6	17	4	17	18	15	14	10	7	18	18	12	19	10	7	19	15	9	14	5	3	17	18	11	15	14	3	6	6	2	17	17
12	12	5	5	11	11	20	13	7	2	17	14	14	8	4	15	10	17	15	17	14	6	15	8	15	8	10	3	6	16	12	13	11	16	12	9	7	16	6	12	9	17	6	5	19	20	16	12	7	4	12
